AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2016,I Trim,Amazonas,Leticia,0
Año 2016,I Trim,Antioquia,Medellin,46
Año 2016,I Trim,Antioquia,Demás Municipios,176
Año 2016,I Trim,Arauca,Arauca,6
Año 2016,I Trim,Arauca,Demás Municipios,2
Año 2016,I Trim,Atlantico,Barranquilla,41
Año 2016,I Trim,Atlantico,Demás Municipios,31
Año 2016,I Trim,Bolivar,Cartagena,31
Año 2016,I Trim,Bolivar,Demás Municipios,15
Año 2016,I Trim,Boyaca,Tunja,19
Año 2016,I Trim,Boyaca,Demás Municipios,69
Año 2016,I Trim,Caldas,Manizales,43
Año 2016,I Trim,Caldas,Demás Municipios,18
Año 2016,I Trim,Caqueta,Florencia,71
Año 2016,I Trim,Caqueta,Demás Municipios,7
Año 2016,I Trim,Casanare,Yopal,12
Año 2016,I Trim,Casanare,Demás Municipios,3
Año 2016,I Trim,Cauca,Popayan,76
Año 2016,I Trim,Cauca,Demás Municipios,26
Año 2016,I Trim,Cesar,Valledupar,30
Año 2016,I Trim,Cesar,Demás Municipios,25
Año 2016,I Trim,Choco,Quibdo,10
Año 2016,I Trim,Choco,Demás Municipios,2
Año 2016,I Trim,Cordoba,Monteria,23
Año 2016,I Trim,Cordoba,Demás Municipios,46
Año 2016,I Trim,Cundinamarca,Bogota,412
Año 2016,I Trim,Cundinamarca,Demás Municipios,135
Año 2016,I Trim,Guainia,Inirida,1
Año 2016,I Trim,Guajira,Riohacha,3
Año 2016,I Trim,Guajira,Demás Municipios,4
Año 2016,I Trim,Guaviare,San Jose Del Guaviare,3
Año 2016,I Trim,Huila,Neiva,48
Año 2016,I Trim,Huila,Demás Municipios,31
Año 2016,I Trim,Magdalena,Santa Marta,2
Año 2016,I Trim,Magdalena,Demás Municipios,13
Año 2016,I Trim,Meta,Villavicencio,39
Año 2016,I Trim,Meta,Demás Municipios,20
Año 2016,I Trim,Nariño,Pasto,39
Año 2016,I Trim,Nariño,Demás Municipios,18
Año 2016,I Trim,Norte De Santander,Cucuta,55
Año 2016,I Trim,Norte De Santander,Demás Municipios,23
Año 2016,I Trim,Putumayo,Mocoa,8
Año 2016,I Trim,Putumayo,Demás Municipios,14
